Country,HDI,LifeExpectancy,ExpectedSchooling,MeanSchooling,GNIPerCapita,GNIRankMinusHDIRank,Median_Happiness_Index_10Years,Male_Depressive_disorders_percentage_of_population_Age_standardized,Female_Depressive_disorders_percentage_of_population_Age_standardized
Dominica,720.0,72.8,13.3,8.1,11.49,0.0,,2.235443,3.7328153
Italy,895.0,82.9,16.2,10.7,42.84,0.0,6.12,2.587289,4.716397
Guinea-Bissau,483.0,59.7,10.6,3.6,1.91,0.0,,3.3035352,5.462438
Mozambique,446.0,59.3,10.2,3.2,1.2,2.0,4.79,4.146026,5.5893807
Haiti,535.0,63.2,9.7,5.6,2.85,2.0,3.67,2.602208,4.6049247
Antigua and Barbuda,788.0,78.5,14.2,9.3,16.79,2.0,,2.043276,3.7084043
Oman,816.0,72.5,14.6,11.7,27.05,-2.0,6.85,3.3325217,4.889729
Ghana,632.0,63.8,12.0,8.3,5.75,-2.0,4.76,3.493486,5.180595
France,903.0,82.5,15.8,11.6,45.94,-2.0,6.63,2.872919,5.1832976
Tuvalu,641.0,64.5,9.4,10.6,6.35,-2.0,,2.6197295,3.633909
Lesotho,514.0,53.1,12.0,6.0,2.7,-2.0,3.8,4.039279,6.4585238
Afghanistan,478.0,62.0,10.3,3.0,1.82,-2.0,3.28,4.1977215,5.722405
Hungary,846.0,74.5,15.0,12.2,32.79,-2.0,5.69,2.1751978,3.6734016
Cambodia,593.0,69.6,11.5,5.1,4.08,3.0,4.41,2.5954208,3.4898252
Portugal,866.0,81.0,16.9,9.6,33.16,3.0,5.55,3.2003543,6.350849
Eritrea,492.0,66.5,8.1,4.9,1.73,3.0,,4.032412,5.645927
Netherlands,941.0,81.7,18.7,12.6,55.98,3.0,7.43,2.684666,4.40087
North Macedonia,770.0,73.8,13.6,10.2,15.92,-3.0,5.17,1.7762374,3.4101067
Ireland,945.0,82.0,18.9,11.6,76.17,-3.0,7.02,3.3430462,4.991228
Philippines,699.0,69.3,13.1,9.0,8.92,-3.0,5.52,2.2853134,3.2316368
Niger,400.0,61.6,7.0,2.1,1.24,-3.0,4.33,3.1349616,5.1993
Bosnia and Herzegovina,780.0,75.3,13.8,10.5,15.24,4.0,5.28,1.9524015,3.9723668
Serbia,802.0,74.2,14.4,11.4,19.12,4.0,5.5,2.0068657,3.7798831
Egypt,731.0,70.2,13.8,9.6,11.73,4.0,4.28,2.849211,4.790112
Latvia,863.0,73.6,16.2,13.3,32.8,4.0,5.94,3.3107839,4.511643
Bangladesh,661.0,72.4,12.4,7.4,5.47,4.0,4.67,3.452761,5.7946844
Jamaica,709.0,70.5,13.4,9.2,8.83,4.0,5.78,2.0968986,3.7469378
Burundi,426.0,61.7,10.7,3.1,732.0,4.0,3.71,4.083505,5.8939185
Armenia,759.0,72.0,13.1,11.3,13.16,4.0,4.47,2.1910655,3.4321787
Czechia,889.0,77.7,16.2,12.9,38.75,4.0,6.78,2.1025305,3.8751469
Papua New Guinea,558.0,65.4,10.4,4.7,4.01,-4.0,,2.6727884,3.613704
Romania,821.0,74.2,14.2,11.3,30.03,-4.0,5.88,1.9428313,3.3535318
Uruguay,809.0,75.4,16.8,9.0,21.27,5.0,6.45,1.9230369,3.4378037
Myanmar,585.0,65.7,10.9,6.4,3.85,5.0,4.38,1.8785015,2.3772721
Lithuania,875.0,73.7,16.3,13.5,37.93,5.0,6.05,3.420707,4.8934765
Switzerland,962.0,84.0,16.5,13.9,66.93,5.0,7.51,2.9054492,4.5822225
Palau,767.0,66.0,15.8,12.5,13.82,5.0,,2.622591,3.6391056
Ethiopia,498.0,65.0,9.7,3.2,2.36,-5.0,4.32,4.378338,5.4333925
Brazil,754.0,72.8,15.6,8.1,14.37,-5.0,6.4,2.7051554,5.2375064
Denmark,948.0,81.4,18.7,13.0,60.37,6.0,7.59,2.6588306,4.564853
Thailand,800.0,78.7,15.9,8.7,17.03,6.0,6.04,2.4218485,3.3277707
Norway,961.0,83.2,18.2,13.0,64.66,6.0,7.51,2.6216626,3.609713
Cameroon,576.0,60.3,13.1,6.2,3.62,6.0,4.97,3.656429,5.4987626
Rwanda,534.0,66.1,11.2,4.4,2.21,6.0,3.42,4.055403,6.6109443
Uganda,525.0,62.7,10.1,5.7,2.18,6.0,4.19,5.944048,8.289486
Germany,942.0,80.6,17.0,14.1,54.53,6.0,6.97,2.6729481,4.089651
Belize,683.0,70.5,13.0,8.8,6.31,6.0,5.96,2.6031294,3.9384644
Nicaragua,667.0,73.8,12.6,7.1,5.63,6.0,6.09,2.5803344,3.974129
Comoros,558.0,63.4,11.9,5.1,3.14,6.0,3.97,3.4662015,5.0051546
Suriname,730.0,70.3,13.0,9.8,12.67,-6.0,6.27,3.6160228,5.7599077
Kenya,575.0,61.4,10.7,6.7,4.47,-6.0,4.5,4.101989,5.852819
India,633.0,67.2,11.9,6.7,6.59,-6.0,4.11,3.3730757,5.0282407
Zambia,565.0,61.2,10.9,7.2,3.22,7.0,4.24,3.5397272,4.799281
Belgium,937.0,81.9,19.6,12.4,52.29,7.0,6.91,2.691207,3.9950063
Liberia,481.0,60.7,10.4,5.1,1.29,7.0,4.12,2.713285,6.81006
Saint Lucia,715.0,71.1,12.9,8.5,12.05,-7.0,,2.6079445,3.82948
Chad,394.0,52.5,8.0,2.6,1.36,-7.0,4.28,4.1277523,6.2647815
Colombia,752.0,72.8,14.4,8.9,14.38,-7.0,6.21,2.137186,2.7097857
Benin,525.0,59.8,10.8,4.3,3.41,-7.0,4.26,3.5095034,5.237685
Croatia,858.0,77.6,15.1,12.2,30.13,8.0,5.58,2.3013954,3.911318
Belarus,808.0,72.4,15.2,12.1,18.85,8.0,5.54,3.2396882,4.5867977
Costa Rica,809.0,77.0,16.5,8.8,19.97,8.0,7.08,2.5886972,3.7237213
Madagascar,501.0,64.5,10.1,5.1,1.48,8.0,3.95,3.9662507,5.5348167
Estonia,890.0,77.1,15.9,13.5,38.05,8.0,5.82,3.224872,5.1044445
Poland,876.0,76.5,16.0,13.2,33.03,8.0,6.12,1.9016012,2.4270277
Jordan,720.0,74.3,10.6,10.4,9.92,8.0,5.03,2.9893405,5.8956985
Burkina Faso,449.0,59.3,9.1,2.1,2.12,-8.0,4.51,3.7849905,4.8472333
Bulgaria,795.0,71.8,13.9,11.4,23.08,-8.0,4.97,1.9077662,3.6351666
Bahamas,812.0,71.6,12.9,12.6,30.49,-8.0,,2.158076,3.754581
China,768.0,78.2,14.2,7.6,17.5,-8.0,5.25,2.2308407,3.4906948
Azerbaijan,745.0,69.4,13.5,10.5,14.26,-8.0,5.2,1.9961519,3.313925
Austria,916.0,81.6,16.0,12.3,53.62,-8.0,7.18,2.4173384,3.995557
Malaysia,803.0,74.9,13.3,10.6,26.66,-8.0,5.76,2.9991539,3.8502479
El Salvador,675.0,70.7,12.7,7.2,8.3,-8.0,6.12,2.6157796,4.2602396
Panama,805.0,76.2,13.1,10.5,26.96,-8.0,6.38,2.3963473,3.5311608
Fiji,730.0,67.1,14.7,10.9,9.98,9.0,,2.4129207,3.4150374
Cyprus,896.0,81.2,15.6,12.4,38.19,9.0,6.09,2.2307441,3.8320808
United Kingdom,929.0,80.7,17.3,13.4,45.23,9.0,6.88,3.5013676,4.7547293
Mongolia,739.0,71.0,15.0,9.4,10.59,9.0,5.21,3.2328472,4.811866
Sweden,947.0,83.0,19.4,12.6,54.49,9.0,7.36,2.8773675,5.567793
Zimbabwe,593.0,59.3,12.1,8.7,3.81,9.0,3.68,2.84895,3.7867324
Canada,936.0,82.7,16.4,13.8,46.81,9.0,7.3,2.4515173,4.1071677
Spain,905.0,83.0,17.9,10.6,38.35,10.0,6.38,2.878785,5.002301
Nepal,602.0,68.4,12.9,5.1,3.88,10.0,4.94,4.039018,5.7055955
Tunisia,731.0,73.8,15.4,7.4,10.26,10.0,4.59,4.143342,5.889142
Slovenia,918.0,80.7,17.7,12.8,39.75,10.0,6.09,2.344635,4.5136414
Israel,919.0,82.3,16.1,13.3,41.52,10.0,7.24,3.4489062,5.56115
Saudi Arabia,875.0,76.9,16.1,11.3,46.11,-10.0,6.41,3.3908918,5.0341067
Singapore,939.0,82.8,16.5,11.9,90.92,-10.0,6.51,1.6717842,2.5391774
Paraguay,717.0,70.3,13.0,8.9,12.35,-10.0,5.69,2.0964248,4.986348
Senegal,511.0,67.1,9.0,2.9,3.34,-10.0,4.66,3.35401,4.531684
Iceland,959.0,82.7,19.2,13.8,55.78,11.0,7.53,2.2379618,3.7297735
Ecuador,740.0,73.7,14.6,8.8,10.31,11.0,5.95,2.6375623,4.013785
Ukraine,773.0,71.6,15.0,11.1,13.26,11.0,4.62,3.3757784,5.0639777
Finland,940.0,82.0,19.1,12.9,49.45,11.0,7.7,3.5090797,5.598133
Congo,571.0,63.5,12.3,6.2,2.89,11.0,5.08,4.8686647,6.7366734
Saint Vincent and the Grenadines,751.0,69.6,14.7,10.8,11.96,11.0,,2.7101007,3.8473465
Mali,428.0,58.9,7.4,2.3,2.13,-11.0,4.32,2.6830227,4.2882257
Indonesia,705.0,67.6,13.7,8.6,11.47,-11.0,5.28,1.9501109,2.8161356
Dominican Republic,767.0,72.6,14.5,9.3,17.99,-11.0,5.36,2.8181615,4.860793
Malta,918.0,83.8,16.8,12.2,38.88,12.0,6.51,2.3178709,3.8129895
Japan,925.0,84.8,15.2,13.4,42.27,12.0,5.93,1.7350676,2.4715574
Marshall Islands,639.0,65.3,10.2,10.9,4.62,12.0,,2.5042696,3.3658955
Togo,539.0,61.6,13.0,5.0,2.17,12.0,4.04,3.5565927,5.2838674
Iraq,686.0,70.4,12.1,7.9,9.98,-12.0,4.73,2.9049113,4.47005
Peru,762.0,72.4,15.4,9.9,12.25,13.0,5.73,1.8235667,2.7638345
Sao Tome and Principe,618.0,67.6,13.4,6.2,4.02,13.0,,2.7233586,4.5340385
Solomon Islands,564.0,70.3,10.3,5.7,2.48,13.0,,2.5736418,3.516719
Malawi,512.0,62.9,12.7,4.5,1.47,13.0,3.67,3.3322225,4.9641232
Algeria,745.0,76.4,14.6,8.1,10.8,13.0,5.31,3.2449684,5.022175
Guinea,465.0,58.9,9.8,2.2,2.48,-13.0,4.25,3.2228312,5.3322706
Luxembourg,930.0,82.6,14.4,13.0,84.65,-13.0,7.07,2.6542387,4.189158
Kiribati,624.0,67.4,11.8,8.0,4.06,14.0,,2.639532,3.3030696
Chile,855.0,78.9,16.7,10.9,24.56,14.0,6.46,2.7063048,5.3785396
Sudan,508.0,65.3,7.9,3.8,3.58,-14.0,,3.8233047,5.1046414
Angola,586.0,61.6,12.2,5.4,5.47,-14.0,3.87,4.9611163,6.64091
United States,921.0,77.2,16.3,13.7,64.77,-14.0,6.96,3.240757,5.621058
Maldives,747.0,79.9,12.6,7.3,15.45,-14.0,5.2,2.5709171,3.9012794
Liechtenstein,935.0,83.3,15.2,12.5,146.83,-15.0,,0.0,0.0
Bhutan,666.0,71.8,13.2,5.2,9.44,-15.0,5.08,3.387123,4.7868037
United Arab Emirates,911.0,78.7,15.7,12.7,62.57,-15.0,6.71,3.3084602,4.653189
New Zealand,937.0,82.5,20.3,12.9,44.06,16.0,7.29,2.87642,4.3926406
Montenegro,832.0,76.3,15.1,12.2,20.84,16.0,5.44,1.9024427,3.7475421
Mexico,758.0,70.2,14.9,9.2,17.9,-16.0,6.53,2.405061,3.9455266
Saint Kitts and Nevis,777.0,71.7,15.4,8.7,23.36,-16.0,,2.9076588,4.9142838
Argentina,842.0,75.4,17.9,11.1,20.93,17.0,6.24,1.897122,3.227695
Georgia,802.0,71.7,15.6,12.8,14.66,17.0,4.43,2.594032,3.7962255
Greece,887.0,80.1,20.0,11.4,29.0,17.0,5.4,4.0002117,6.408567
Albania,796.0,76.5,14.4,11.3,14.13,17.0,4.92,1.6294725,3.2410843
South Africa,713.0,62.3,13.6,11.4,12.95,-17.0,4.82,3.1493468,4.9666657
Seychelles,785.0,71.3,13.9,10.3,25.83,-17.0,,2.4243708,2.9164762
Grenada,795.0,74.9,18.7,9.0,13.48,18.0,,2.5629659,3.8592203
Uzbekistan,727.0,70.9,12.5,11.9,7.92,18.0,6.04,2.473004,3.9093885
Australia,951.0,84.5,21.1,12.7,49.24,18.0,7.25,3.7037082,5.421736
Pakistan,544.0,66.1,8.7,4.5,4.62,-19.0,5.23,2.9773657,4.918777
Andorra,858.0,80.4,13.3,10.6,51.17,-19.0,,2.781782,4.427677
Mauritania,556.0,64.4,9.4,4.9,5.08,-20.0,4.37,3.186677,4.046542
Guatemala,627.0,69.2,10.6,5.7,8.72,-20.0,6.35,2.8922555,4.91585
Sri Lanka,782.0,76.4,14.1,10.8,12.58,21.0,4.36,2.5796168,3.2596617
Nigeria,535.0,52.7,10.1,7.2,4.79,-22.0,5.03,3.3677077,5.2037096
Vanuatu,607.0,70.4,11.5,7.1,3.09,23.0,,2.5910494,3.458546
Tajikistan,685.0,71.6,11.7,11.3,4.55,23.0,5.34,2.066175,3.568672
Namibia,615.0,59.3,11.9,7.2,8.63,-23.0,4.57,3.098277,4.1091533
Samoa,707.0,72.8,12.4,11.4,5.31,24.0,,2.4377913,3.264976
San Marino,853.0,80.9,12.3,10.8,52.65,-25.0,,3.1196644,4.9808106
Gabon,706.0,65.8,13.0,9.4,13.37,-25.0,4.78,5.044849,6.292905
Kyrgyzstan,692.0,70.0,13.2,11.4,4.57,26.0,5.27,2.7651892,4.1628904
Barbados,790.0,77.6,15.7,9.9,12.31,26.0,,2.3220422,3.7770393
Libya,718.0,71.9,12.9,7.6,15.34,-27.0,5.53,3.534966,5.19502
Kuwait,831.0,78.7,15.3,7.3,52.92,-32.0,6.11,3.273132,5.069485
Djibouti,509.0,62.3,7.4,4.1,5.03,-32.0,4.53,3.710838,5.2871985
Tonga,745.0,71.0,16.0,11.4,6.82,34.0,,2.1254466,3.2012863
Morocco,683.0,74.0,14.2,5.9,7.3,1.0,5.08,4.09713,6.138314
Trinidad and Tobago,810.0,73.0,14.5,11.6,23.39,1.0,,3.0692296,4.5606484
Yemen,455.0,63.8,9.1,3.2,1.31,1.0,3.66,3.8101482,5.9960923
Slovakia,848.0,74.9,14.5,12.9,30.69,1.0,6.19,1.8504547,3.6685107
Kazakhstan,811.0,69.4,15.8,12.3,23.94,1.0,5.89,2.6939514,4.111321
Central African Republic,404.0,53.9,8.0,4.3,966.0,1.0,3.48,5.216966,6.7166395
Lebanon,706.0,75.0,11.3,8.7,9.53,-1.0,4.88,3.8390996,6.0345907
Sierra Leone,477.0,60.1,9.6,4.6,1.62,-1.0,4.35,3.2976995,5.429999
Turkmenistan,745.0,69.3,13.2,11.3,13.02,-1.0,5.55,2.400569,3.8144217
South Sudan,385.0,55.0,5.5,5.7,768.0,-1.0,3.25,3.7958722,5.6293464
Honduras,621.0,70.1,10.1,7.1,5.3,-1.0,5.68,2.3505034,3.8903165
Bahrain,875.0,78.8,16.3,11.0,39.5,-1.0,6.19,4.243961,6.0035925
Mauritius,802.0,73.6,15.2,10.4,22.03,-1.0,5.89,3.0576642,5.25024
Gambia,500.0,62.1,9.4,4.6,2.17,-1.0,4.75,3.1020494,8.213827
Cuba,764.0,73.7,14.4,12.5,7.88,37.0,,2.9732003,5.090788
Qatar,855.0,79.3,12.6,10.0,87.13,-39.0,6.38,3.6636422,5.281675
Botswana,693.0,61.1,12.3,10.3,16.2,-43.0,3.54,3.4862885,4.946452
Equatorial Guinea,596.0,60.6,9.7,5.9,12.07,-47.0,,4.8602037,6.567637
Guyana,714.0,65.7,12.5,8.6,22.47,-47.0,,3.852284,6.0691814
